survived,sex,age,n_siblings_spouses,parch,fare,class,deck,embark_town,alone
0,male,28.0,0,1,33.0,second,,southampton,n
1,female,28.0,1,0,89.1042,first,c,cherbourg,n
0,male,4.0,4,2,31.275,third,,southampton,n
1,female,16.0,0,1,39.4,first,d,southampton,n
1,female,18.0,0,1,9.35,third,,southampton,n
1,female,45.0,1,1,164.8667,first,,southampton,n
1,male,51.0,0,0,26.55,first,e,southampton,y
1,female,24.0,0,3,19.2583,third,,cherbourg,n
0,male,41.0,2,0,14.1083,third,,southampton,n
0,male,24.0,0,0,13.0,second,,southampton,y
1,female,42.0,0,0,13.0,second,,southampton,y
1,female,27.0,1,0,13.8583,second,,cherbourg,n
0,male,31.0,0,0,50.4958,first,a,southampton,y
1,male,4.0,1,1,11.1333,third,,southampton,n
1,female,47.0,1,1,52.5542,first,d,southampton,n
0,male,33.0,0,0,5.0,first,b,southampton,y
0,male,47.0,0,0,9.0,third,,southampton,y
1,female,28.0,1,0,24.0,second,,cherbourg,n
1,female,15.0,0,0,7.225,third,,cherbourg,y
0,male,20.0,0,0,9.8458,third,,southampton,y
0,female,22.0,0,0,10.5167,third,,southampton,y
0,male,28.0,0,0,10.5,second,,southampton,y
1,female,19.0,0,0,30.0,first,b,southampton,y
0,female,28.0,1,2,23.45,third,,southampton,n
0,male,32.0,0,0,7.75,third,,queenstown,y
